NAME,B19083_001E,state,county
"Los Angeles County, California",0.4972,6,37
"Madera County, California",0.4647,6,39
"Marin County, California",0.5232,6,41
"Mariposa County, California",0.4335,6,43
"Mendocino County, California",0.4819,6,45
"Merced County, California",0.4631,6,47
"Modoc County, California",0.4474,6,49
"Mono County, California",0.449,6,51
"Monterey County, California",0.4627,6,53
"Napa County, California",0.4839,6,55
"Nevada County, California",0.4799,6,57
"Orange County, California",0.4655,6,59
"Placer County, California",0.4452,6,61
"Plumas County, California",0.4644,6,63
"Riverside County, California",0.4421,6,65
"Sacramento County, California",0.4452,6,67
"San Benito County, California",0.4193,6,69
"San Bernardino County, California",0.4387,6,71
"San Diego County, California",0.4594,6,73
"San Francisco County, California",0.5181,6,75
"San Joaquin County, California",0.4437,6,77
"San Luis Obispo County, California",0.474,6,79
"San Mateo County, California",0.4956,6,81
"Santa Barbara County, California",0.4915,6,83
"Santa Clara County, California",0.4739,6,85
"Santa Cruz County, California",0.4826,6,87
"Shasta County, California",0.4641,6,89
"Sierra County, California",0.5091,6,91
"Siskiyou County, California",0.4701,6,93
"Solano County, California",0.4235,6,95
"Sonoma County, California",0.4574,6,97
"Stanislaus County, California",0.4389,6,99
"Sutter County, California",0.4503,6,101
"Tehama County, California",0.5054,6,103
"Trinity County, California",0.5035,6,105
"Tulare County, California",0.4401,6,107
"Tuolumne County, California",0.4436,6,109
"Ventura County, California",0.4492,6,111
"Yolo County, California",0.4857,6,113
"Yuba County, California",0.4499,6,115
"Adams County, Colorado",0.4098,8,1
"Alamosa County, Colorado",0.4882,8,3
"Arapahoe County, Colorado",0.4553,8,5
"Archuleta County, Colorado",0.4248,8,7
"Baca County, Colorado",0.481,8,9
"Bent County, Colorado",0.4413,8,11
"Boulder County, Colorado",0.4898,8,13
"Broomfield County, Colorado",0.4008,8,14
"Chaffee County, Colorado",0.4481,8,15
"Cheyenne County, Colorado",0.4029,8,17
"Clear Creek County, Colorado",0.4506,8,19
"Conejos County, Colorado",0.4422,8,21
"Costilla County, Colorado",0.5167,8,23
"Crowley County, Colorado",0.47,8,25
"Custer County, Colorado",0.4141,8,27
"Delta County, Colorado",0.4751,8,29
"Denver County, Colorado",0.4883,8,31
"Dolores County, Colorado",0.4517,8,33
"Douglas County, Colorado",0.3998,8,35
"Eagle County, Colorado",0.5153,8,37
"Elbert County, Colorado",0.4092,8,39
"El Paso County, Colorado",0.4284,8,41
"Fremont County, Colorado",0.4645,8,43
"Garfield County, Colorado",0.4352,8,45
"Gilpin County, Colorado",0.4624,8,47
"Grand County, Colorado",0.4427,8,49
"Gunnison County, Colorado",0.4512,8,51
"Hinsdale County, Colorado",0.3944,8,53
"Huerfano County, Colorado",0.5227,8,55
"Jackson County, Colorado",0.5182,8,57
"Jefferson County, Colorado",0.4311,8,59
"Kiowa County, Colorado",0.4352,8,61
"Kit Carson County, Colorado",0.4819,8,63
"Lake County, Colorado",0.3975,8,65
"La Plata County, Colorado",0.4327,8,67
"Larimer County, Colorado",0.4522,8,69
"Las Animas County, Colorado",0.4626,8,71
"Lincoln County, Colorado",0.489,8,73
"Logan County, Colorado",0.4319,8,75
"Mesa County, Colorado",0.4446,8,77
"Mineral County, Colorado",0.479,8,79
"Moffat County, Colorado",0.4294,8,81
"Montezuma County, Colorado",0.4397,8,83
"Montrose County, Colorado",0.4502,8,85
"Morgan County, Colorado",0.4032,8,87
"Otero County, Colorado",0.428,8,89
"Ouray County, Colorado",0.4344,8,91
"Park County, Colorado",0.4036,8,93
"Phillips County, Colorado",0.5301,8,95
"Pitkin County, Colorado",0.6019,8,97
"Prowers County, Colorado",0.5185,8,99
"Pueblo County, Colorado",0.4558,8,101
"Rio Blanco County, Colorado",0.3633,8,103
"Rio Grande County, Colorado",0.4723,8,105
"Routt County, Colorado",0.4755,8,107
"Saguache County, Colorado",0.5158,8,109
"San Juan County, Colorado",0.4054,8,111
"San Miguel County, Colorado",0.5382,8,113
"Sedgwick County, Colorado",0.4905,8,115
"Summit County, Colorado",0.435,8,117
"Teller County, Colorado",0.4246,8,119
"Washington County, Colorado",0.4373,8,121
"Weld County, Colorado",0.4199,8,123
"Yuma County, Colorado",0.445,8,125
"Capitol Planning Region, Connecticut",0.4684,9,110
"Greater Bridgeport Planning Region, Connecticut",0.5198,9,120
"Lower Connecticut River Valley Planning Region, Connecticut",0.4589,9,130
"Naugatuck Valley Planning Region, Connecticut",0.4615,9,140
"Northeastern Connecticut Planning Region, Connecticut",0.4053,9,150
"Northwest Hills Planning Region, Connecticut",0.4815,9,160
"South Central Connecticut Planning Region, Connecticut",0.4783,9,170
"Southeastern Connecticut Planning Region, Connecticut",0.4425,9,180
"Western Connecticut Planning Region, Connecticut",0.543,9,190
"Kent County, Delaware",0.4047,10,1
"New Castle County, Delaware",0.4527,10,3
"Sussex County, Delaware",0.4564,10,5
"District of Columbia, District of Columbia",0.5144,11,1
"Alachua County, Florida",0.5203,12,1
"Baker County, Florida",0.3976,12,3
"Bay County, Florida",0.4378,12,5
"Bradford County, Florida",0.4542,12,7
"Brevard County, Florida",0.4555,12,9
"Broward County, Florida",0.4878,12,11
"Calhoun County, Florida",0.4688,12,13
"Charlotte County, Florida",0.4496,12,15
"Citrus County, Florida",0.4833,12,17
"Clay County, Florida",0.4043,12,19
"Collier County, Florida",0.5334,12,21
"Columbia County, Florida",0.456,12,23
"DeSoto County, Florida",0.4307,12,27
"Dixie County, Florida",0.4275,12,29
"Duval County, Florida",0.4713,12,31
"Escambia County, Florida",0.4546,12,33
"Flagler County, Florida",0.4645,12,35
"Franklin County, Florida",0.461,12,37
"Gadsden County, Florida",0.4631,12,39
"Gilchrist County, Florida",0.4959,12,41
"Glades County, Florida",0.4836,12,43
"Gulf County, Florida",0.4696,12,45
"Hamilton County, Florida",0.4362,12,47
"Hardee County, Florida",0.5011,12,49
"Hendry County, Florida",0.4605,12,51
"Hernando County, Florida",0.4246,12,53
"Highlands County, Florida",0.4601,12,55
