State FIPS,County FIPS,County Name,State Name,Direction of Change
48,453,"Travis County, TX",Texas,Decrease
48,473,"Waller County, TX",Texas,Decrease
48,479,"Webb County, TX",Texas,Decrease
48,489,"Willacy County, TX",Texas,Decrease
48,501,"Yoakum County, TX",Texas,Decrease
48,507,"Zavala County, TX",Texas,Decrease
49,005,"Cache County, UT",Utah,Decrease
49,019,"Grand County, UT",Utah,Decrease
49,021,"Iron County, UT",Utah,Decrease
49,027,"Millard County, UT",Utah,Decrease
49,037,"San Juan County, UT",Utah,Decrease
49,049,"Utah County, UT",Utah,Decrease
49,057,"Weber County, UT",Utah,Decrease
51,059,"Fairfax County, VA",Virginia,Increase
51,075,"Goochland County, VA",Virginia,Decrease
51,081,"Greensville County, VA",Virginia,Increase
51,107,"Loudoun County, VA",Virginia,Increase
51,121,"Montgomery County, VA",Virginia,Increase
51,153,"Prince William County, VA",Virginia,Increase
51,199,"York County, VA",Virginia,Increase
51,540,"Charlottesville city, VA",Virginia,Decrease
51,570,"Colonial Heights city, VA",Virginia,Increase
51,600,"Fairfax city, VA",Virginia,Increase
51,610,"Falls Church city, VA",Virginia,Increase
51,670,"Hopewell city, VA",Virginia,Increase
51,760,"Richmond city, VA",Virginia,Decrease
51,790,"Staunton city, VA",Virginia,Decrease
51,810,"Virginia Beach city, VA",Virginia,Increase
51,840,"Winchester city, VA",Virginia,Increase
53,011,"Clark County, WA",Washington,Decrease
53,033,"King County, WA",Washington,Decrease
53,037,"Kittitas County, WA",Washington,Decrease
53,039,"Klickitat County, WA",Washington,Decrease
53,047,"Okanogan County, WA",Washington,Decrease
53,065,"Stevens County, WA",Washington,Decrease
53,077,"Yakima County, WA",Washington,Decrease
54,019,"Fayette County, WV",West Virginia,Decrease
54,033,"Harrison County, WV",West Virginia,Decrease
55,031,"Douglas County, WI",Wisconsin,Decrease
55,033,"Dunn County, WI",Wisconsin,Decrease
55,035,"Eau Claire County, WI",Wisconsin,Decrease
55,055,"Jefferson County, WI",Wisconsin,Increase
